onset	duration	sample	value
0	n/a	0	boundary
6.496	0.002	3248	202
10.43	0.002	5215	110
11.59	0.002	5795	210
12.096	0.002	6048	201
13.332	0.002	6666	120
14.482	0.002	7241	220
15.216	0.002	7608	202
16.24	0.002	8120	110
17.348	0.002	8674	210
17.672	0.002	8836	201
19.048	0.002	9524	120
20.324	0.002	10162	220
20.816	0.002	10408	201
22.04	0.002	11020	110
23.216	0.002	11608	210
23.56	0.002	11780	201
24.924	0.002	12462	120
26.158	0.002	13079	220
26.6	0.002	13300	201
27.85	0.002	13925	120
29.042	0.002	14521	220
29.568	0.002	14784	201
30.792	0.002	15396	120
32.008	0.002	16004	220
32.6	0.002	16300	201
33.634	0.002	16817	110
34.842	0.002	17421	210
35.552	0.002	17776	201
36.526	0.002	18263	110
37.676	0.002	18838	210
38.072	0.002	19036	201
40.2	0.002	20100	202
41.68	0.002	20840	202
45.684	0.002	22842	121
46.81	0.002	23405	221
47.264	0.002	23632	201
48.594	0.002	24297	121
49.81	0.002	24905	221
50.36	0.002	25180	201
51.444	0.002	25722	121
52.718	0.002	26359	221
53.28	0.002	26640	201
54.418	0.002	27209	121
55.702	0.002	27851	221
56.336	0.002	28168	201
57.31	0.002	28655	111
58.46	0.002	29230	211
58.784	0.002	29392	201
60.244	0.002	30122	111
61.378	0.002	30689	211
61.688	0.002	30844	201
63.162	0.002	31581	111
64.402	0.002	32201	211
65.032	0.002	32516	202
66.086	0.002	33043	111
67.336	0.002	33668	211
67.744	0.002	33872	201
69.07	0.002	34535	121
70.27	0.002	35135	221
70.872	0.002	35436	201
71.92	0.002	35960	111
73.128	0.002	36564	211
73.544	0.002	36772	201
74.854	0.002	37427	111
76.13	0.002	38065	211
76.52	0.002	38260	201
77.77	0.002	38885	111
78.98	0.002	39490	211
79.336	0.002	39668	201
80.662	0.002	40331	111
81.796	0.002	40898	211
82.056	0.002	41028	201
83.404	0.002	41702	121
84.63	0.002	42315	221
85.056	0.002	42528	201
86.388	0.002	43194	111
87.622	0.002	43811	211
87.88	0.002	43940	201
89.388	0.002	44694	121
90.522	0.002	45261	221
90.952	0.002	45476	201
92.164	0.002	46082	121
93.29	0.002	46645	221
93.768	0.002	46884	201
94.906	0.002	47453	121
96.106	0.002	48053	221
96.536	0.002	48268	201
97.864	0.002	48932	121
98.972	0.002	49486	221
99.64	0.002	49820	201
100.64	0.002	50320	111
101.924	0.002	50962	211
102.2	0.002	51100	201
105.32	0.002	52660	202
106.224	0.002	53112	202
110.25	0.002	55125	111
111.44	0.002	55720	211
112.264	0.002	56132	201
113.058	0.002	56529	121
114.224	0.002	57112	221
114.624	0.002	57312	201
116.016	0.002	58008	121
117.174	0.002	58587	221
117.632	0.002	58816	201
118.95	0.002	59475	121
120.142	0.002	60071	221
120.768	0.002	60384	201
121.808	0.002	60904	111
122.934	0.002	61467	211
123.296	0.002	61648	201
124.576	0.002	62288	111
125.684	0.002	62842	211
126.096	0.002	63048	202
127.476	0.002	63738	121
128.692	0.002	64346	221
128.96	0.002	64480	202
130.392	0.002	65196	121
131.668	0.002	65834	221
132	0.002	66000	201
133.402	0.002	66701	111
134.684	0.002	67342	211
134.992	0.002	67496	201
136.468	0.002	68234	121
137.66	0.002	68830	221
138.064	0.002	69032	201
139.41	0.002	69705	111
140.644	0.002	70322	211
140.928	0.002	70464	201
142.26	0.002	71130	121
143.478	0.002	71739	221
143.88	0.002	71940	201
145.11	0.002	72555	111
146.31	0.002	73155	211
146.64	0.002	73320	201
148.102	0.002	74051	111
149.352	0.002	74676	211
149.608	0.002	74804	201
151.054	0.002	75527	111
152.354	0.002	76177	211
152.56	0.002	76280	201
154.136	0.002	77068	121
155.278	0.002	77639	221
155.64	0.002	77820	201
156.962	0.002	78481	121
158.212	0.002	79106	221
158.648	0.002	79324	201
160.012	0.002	80006	111
161.146	0.002	80573	211
161.368	0.002	80684	201
162.946	0.002	81473	121
164.204	0.002	82102	221
164.632	0.002	82316	201
165.812	0.002	82906	111
167.104	0.002	83552	211
167.568	0.002	83784	201
176.576	0.002	88288	202
177.24	0.002	88620	202
181.222	0.002	90611	111
182.398	0.002	91199	211
182.768	0.002	91384	202
184.164	0.002	92082	111
185.39	0.002	92695	211
185.656	0.002	92828	201
187.006	0.002	93503	121
188.224	0.002	94112	221
188.552	0.002	94276	201
190.024	0.002	95012	111
191.298	0.002	95649	211
191.544	0.002	95772	201
193.098	0.002	96549	121
194.29	0.002	97145	221
194.664	0.002	97332	201
195.95	0.002	97975	111
197.124	0.002	98562	211
197.416	0.002	98708	201
198.892	0.002	99446	121
200.174	0.002	100087	221
200.392	0.002	100196	202
201.892	0.002	100946	111
203.134	0.002	101567	211
203.392	0.002	101696	201
204.926	0.002	102463	111
206.066	0.002	103033	211
206.344	0.002	103172	201
207.666	0.002	103833	121
208.95	0.002	104475	221
209.256	0.002	104628	201
210.668	0.002	105334	121
211.892	0.002	105946	221
212.536	0.002	106268	201
213.684	0.002	106842	111
214.95	0.002	107475	211
215.712	0.002	107856	201
216.592	0.002	108296	121
217.842	0.002	108921	221
218.456	0.002	109228	201
219.576	0.002	109788	121
220.876	0.002	110438	221
221.376	0.002	110688	201
222.61	0.002	111305	121
223.71	0.002	111855	221
224.232	0.002	112116	201
225.41	0.002	112705	111
226.628	0.002	113314	211
227.144	0.002	113572	201
228.344	0.002	114172	111
229.494	0.002	114747	211
229.808	0.002	114904	201
231.236	0.002	115618	111
232.42	0.002	116210	211
232.792	0.002	116396	201
234.036	0.002	117018	121
235.27	0.002	117635	221
236.994	0.002	118497	121
238.194	0.002	119097	221
239.056	0.002	119528	201
241.464	0.002	120732	202
242.192	0.002	121096	202
246.18	0.002	123090	122
247.438	0.002	123719	222
249.172	0.002	124586	122
250.446	0.002	125223	222
250.88	0.002	125440	201
252.162	0.002	126081	112
253.272	0.002	126636	212
253.68	0.002	126840	201
255.064	0.002	127532	122
256.356	0.002	128178	222
256.744	0.002	128372	201
257.972	0.002	128986	122
259.13	0.002	129565	222
259.48	0.002	129740	201
260.806	0.002	130403	112
262.088	0.002	131044	212
262.4	0.002	131200	201
263.872	0.002	131936	122
265.14	0.002	132570	222
265.544	0.002	132772	201
266.922	0.002	133461	112
268.04	0.002	134020	212
268.44	0.002	134220	201
269.832	0.002	134916	112
271.074	0.002	135537	212
271.256	0.002	135628	201
272.732	0.002	136366	122
273.882	0.002	136941	222
274.36	0.002	137180	201
275.648	0.002	137824	112
276.816	0.002	138408	212
277.184	0.002	138592	201
278.508	0.002	139254	122
279.74	0.002	139870	222
280.024	0.002	140012	201
281.466	0.002	140733	122
282.6	0.002	141300	222
283.104	0.002	141552	202
284.216	0.002	142108	122
285.508	0.002	142754	222
285.912	0.002	142956	201
287.184	0.002	143592	112
288.308	0.002	144154	212
288.616	0.002	144308	201
290.066	0.002	145033	112
291.3	0.002	145650	212
291.576	0.002	145788	201
292.95	0.002	146475	122
294.168	0.002	147084	222
294.536	0.002	147268	201
295.95	0.002	147975	112
297.142	0.002	148571	212
297.44	0.002	148720	201
298.934	0.002	149467	112
300.168	0.002	150084	212
300.504	0.002	150252	201
301.918	0.002	150959	112
303.176	0.002	151588	212
303.448	0.002	151724	201
308.384	0.002	154192	202
309.272	0.002	154636	202
313.228	0.002	156614	122
314.352	0.002	157176	222
314.768	0.002	157384	202
315.994	0.002	157997	122
317.12	0.002	158560	222
317.512	0.002	158756	201
318.762	0.002	159381	112
319.912	0.002	159956	212
320.376	0.002	160188	201
321.694	0.002	160847	112
322.904	0.002	161452	212
323.152	0.002	161576	201
324.612	0.002	162306	122
325.778	0.002	162889	222
326.104	0.002	163052	201
327.42	0.002	163710	112
328.712	0.002	164356	212
329.008	0.002	164504	201
330.478	0.002	165239	122
331.588	0.002	165794	222
332.064	0.002	166032	201
333.238	0.002	166619	112
334.538	0.002	167269	212
334.8	0.002	167400	201
336.238	0.002	168119	122
337.346	0.002	168673	222
337.792	0.002	168896	201
339.072	0.002	169536	112
340.188	0.002	170094	212
340.488	0.002	170244	201
341.838	0.002	170919	112
343.064	0.002	171532	212
343.728	0.002	171864	201
344.78	0.002	172390	122
345.998	0.002	172999	222
346.432	0.002	173216	201
347.78	0.002	173890	112
348.93	0.002	174465	212
349.2	0.002	174600	201
350.68	0.002	175340	122
351.972	0.002	175986	222
352.352	0.002	176176	201
353.614	0.002	176807	122
354.898	0.002	177449	222
355.56	0.002	177780	201
356.64	0.002	178320	122
357.848	0.002	178924	222
358.232	0.002	179116	201
359.474	0.002	179737	122
360.732	0.002	180366	222
361.304	0.002	180652	201
362.366	0.002	181183	112
363.608	0.002	181804	212
363.864	0.002	181932	201
365.324	0.002	182662	122
366.508	0.002	183254	222
367.032	0.002	183516	201
368.216	0.002	184108	112
369.432	0.002	184716	212
369.632	0.002	184816	201
380.192	0.002	190096	202
381.52	0.002	190760	202
385.51	0.002	192755	122
386.802	0.002	193401	222
387.192	0.002	193596	201
388.452	0.002	194226	112
389.684	0.002	194842	212
389.928	0.002	194964	201
391.444	0.002	195722	122
392.71	0.002	196355	222
393.12	0.002	196560	201
394.51	0.002	197255	122
395.702	0.002	197851	222
396.136	0.002	198068	201
397.452	0.002	198726	112
398.744	0.002	199372	212
399.04	0.002	199520	201
400.402	0.002	200201	122
401.578	0.002	200789	222
402.024	0.002	201012	201
403.252	0.002	201626	112
404.452	0.002	202226	212
404.792	0.002	202396	201
406.07	0.002	203035	122
407.37	0.002	203685	222
407.456	0.002	203728	202
408.996	0.002	204498	112
410.204	0.002	205102	212
410.776	0.002	205388	201
412.004	0.002	206002	122
413.188	0.002	206594	222
413.544	0.002	206772	201
414.82	0.002	207410	122
415.93	0.002	207965	222
416.344	0.002	208172	201
417.68	0.002	208840	112
418.954	0.002	209477	212
419.16	0.002	209580	201
420.562	0.002	210281	112
421.83	0.002	210915	212
422.08	0.002	211040	201
423.572	0.002	211786	112
424.78	0.002	212390	212
425.008	0.002	212504	201
426.406	0.002	213203	112
427.538	0.002	213769	212
427.856	0.002	213928	202
429.28	0.002	214640	112
430.422	0.002	215211	212
431.16	0.002	215580	201
432.206	0.002	216103	112
433.398	0.002	216699	212
433.664	0.002	216832	201
435.08	0.002	217540	122
436.372	0.002	218186	222
436.776	0.002	218388	201
438.106	0.002	219053	112
439.374	0.002	219687	212
439.808	0.002	219904	202
441.174	0.002	220587	122
442.314	0.002	221157	222
442.752	0.002	221376	201
